name1,name,value,name1_id,name_id,name1_reclamation,name_reclamation,age,sampling_yr,assembly
BM98A_A1,BM98A_B3,-2.62870909223991,2008,2008,biosolids,biosolids,10,2018,1
BM98A_A1,BM98A_C1,-2.29186021893046,2008,2008,biosolids,biosolids,10,2018,1
BM98A_A1,BM98A_C2,-2.17398850343367,2008,2008,biosolids,biosolids,10,2018,1
BM98A_A1,BM98A_C3,-2.15258275683214,2008,2008,biosolids,biosolids,10,2018,1
BM98A_A2,BM98A_A1,-1.25480841702992,2008,2008,biosolids,biosolids,10,2018,0
BM98A_A2,BM98A_A3,-2.67509799664847,2008,2008,biosolids,biosolids,10,2018,1
BM98A_A2,BM98A_B1,-0.835413264431962,2008,2008,biosolids,biosolids,10,2018,0
BM98A_A2,BM98A_B2,-2.74133580789653,2008,2008,biosolids,biosolids,10,2018,1
BM98A_A2,BM98A_B3,-1.82477179323219,2008,2008,biosolids,biosolids,10,2018,0
BM98A_A2,BM98A_C1,-2.17577630148939,2008,2008,biosolids,biosolids,10,2018,1
BM98A_A2,BM98A_C2,-1.46175821077548,2008,2008,biosolids,biosolids,10,2018,0
BM98A_A2,BM98A_C3,-1.38800350212187,2008,2008,biosolids,biosolids,10,2018,0
BM98A_A3,BM98A_A1,-1.11687524297936,2008,2008,biosolids,biosolids,10,2018,0
BM98A_A3,BM98A_A2,-2.67509799664847,2008,2008,biosolids,biosolids,10,2018,1
BM98A_A3,BM98A_B1,-2.1959373029918,2008,2008,biosolids,biosolids,10,2018,1
BM98A_A3,BM98A_B2,-2.47784436972465,2008,2008,biosolids,biosolids,10,2018,1
BM98A_A3,BM98A_B3,-1.15774495883738,2008,2008,biosolids,biosolids,10,2018,0
BM98A_A3,BM98A_C1,-2.38190688173793,2008,2008,biosolids,biosolids,10,2018,1
BM98A_A3,BM98A_C2,-2.66774572219439,2008,2008,biosolids,biosolids,10,2018,1
BM98A_A3,BM98A_C3,-0.697758034591704,2008,2008,biosolids,biosolids,10,2018,0
BM98A_B1,BM98A_A1,-1.76359147835472,2008,2008,biosolids,biosolids,10,2018,0
BM98A_B1,BM98A_A2,-0.835413264431962,2008,2008,biosolids,biosolids,10,2018,0
BM98A_B1,BM98A_A3,-2.1959373029918,2008,2008,biosolids,biosolids,10,2018,1
BM98A_B1,BM98A_B2,-1.96893771976195,2008,2008,biosolids,biosolids,10,2018,0
BM98A_B1,BM98A_B3,-2.46251178226354,2008,2008,biosolids,biosolids,10,2018,1
BM98A_B1,BM98A_C1,-1.59508528802064,2008,2008,biosolids,biosolids,10,2018,0
BM98A_B1,BM98A_C2,-1.83027991399826,2008,2008,biosolids,biosolids,10,2018,0
BM98A_B1,BM98A_C3,-1.36345091175447,2008,2008,biosolids,biosolids,10,2018,0
BM98A_B2,BM98A_A1,-1.32590831367256,2008,2008,biosolids,biosolids,10,2018,0
BM98A_B2,BM98A_A2,-2.74133580789653,2008,2008,biosolids,biosolids,10,2018,1
BM98A_B2,BM98A_A3,-2.47784436972465,2008,2008,biosolids,biosolids,10,2018,1
BM98A_B2,BM98A_B1,-1.96893771976195,2008,2008,biosolids,biosolids,10,2018,0
BM98A_B2,BM98A_B3,-1.64314275514995,2008,2008,biosolids,biosolids,10,2018,0
BM98A_B2,BM98A_C1,-1.91788825778868,2008,2008,biosolids,biosolids,10,2018,0
BM98A_B2,BM98A_C2,-2.27381909781692,2008,2008,biosolids,biosolids,10,2018,1
BM98A_B2,BM98A_C3,-0.228189332439082,2008,2008,biosolids,biosolids,10,2018,0
BM98A_B3,BM98A_A1,-2.62870909223991,2008,2008,biosolids,biosolids,10,2018,1
BM98A_B3,BM98A_A2,-1.82477179323219,2008,2008,biosolids,biosolids,10,2018,0
BM98A_B3,BM98A_A3,-1.15774495883738,2008,2008,biosolids,biosolids,10,2018,0
BM98A_B3,BM98A_B1,-2.46251178226354,2008,2008,biosolids,biosolids,10,2018,1
BM98A_B3,BM98A_B2,-1.64314275514995,2008,2008,biosolids,biosolids,10,2018,0
BM98A_B3,BM98A_C1,-1.99610739148164,2008,2008,biosolids,biosolids,10,2018,0
BM98A_B3,BM98A_C2,-2.540692371166,2008,2008,biosolids,biosolids,10,2018,1
BM98A_B3,BM98A_C3,-1.73052522229499,2008,2008,biosolids,biosolids,10,2018,0
BM98A_C1,BM98A_A1,-2.29186021893046,2008,2008,biosolids,biosolids,10,2018,1
BM98A_C1,BM98A_A2,-2.17577630148939,2008,2008,biosolids,biosolids,10,2018,1
BM98A_C1,BM98A_A3,-2.38190688173793,2008,2008,biosolids,biosolids,10,2018,1
BM98A_C1,BM98A_B1,-1.59508528802064,2008,2008,biosolids,biosolids,10,2018,0
BM98A_C1,BM98A_B2,-1.91788825778868,2008,2008,biosolids,biosolids,10,2018,0
