	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_2694	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Thelebolales	f__Pseudeurotiaceae	NA	NA
ASV_2695	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Tetracladium	s__psychrophilum
ASV_2696	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Tubeufiales	f__Tubeufiaceae	NA	NA
ASV_2697	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Claroideoglomeraceae	g__Claroideoglomus	s__drummondii
ASV_2698	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Psathyrella	s__merdicola
ASV_2699	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_2700	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Stachybotryaceae	NA	NA
ASV_2701	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Ostropales	f__Stictidaceae	g__Schizoxylon	s__berkeleyanum
ASV_2702	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Extremaceae	g__Extremus	NA
ASV_2703	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Rhodotorula	s__graminis
ASV_2704	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__sylvestris
ASV_2705	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Hyaloscypha	s__finlandica
ASV_2706	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Pezizomycotina_fam_Incertae_sedis	g__Weissia	NA
ASV_2707	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	NA	NA	NA
ASV_2708	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	NA	NA	NA
ASV_2709	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Meliniomyces	NA
ASV_2710	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Hygrophoraceae	g__Arrhenia	NA
ASV_2711	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Dictyosporiaceae	g__Pseudocoleophoma	NA
ASV_2712	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_2713	k__Fungi	p__Ascomycota	c__Geoglossomycetes	o__Geoglossales	f__Geoglossaceae	g__Geoglossum	s__umbratile
ASV_2714	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Phomatosporales	f__Phomatosporaceae	g__Phomatospora	NA
ASV_2715	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_2716	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_2717	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Rhizoscyphus	s__monotropae
ASV_2718	k__Fungi	p__Chytridiomycota	c__Rhizophlyctidomycetes	o__Rhizophlyctidales	f__Rhizophlyctidaceae	g__Rhizophlyctis	NA
ASV_2719	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Leucosporidiales	f__Leucosporidiaceae	g__Leucosporidium	NA
ASV_2720	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Teratosphaeriaceae	g__Elasticomyces	s__elasticus
ASV_2721	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Sporormiaceae	g__Sporormiella	s__vexans
ASV_2722	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_2723	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	NA	NA
ASV_2724	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	NA	NA
ASV_2725	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Schizoporaceae	g__Xylodon	s__sambuci
ASV_2726	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Coprinellus	NA
ASV_2727	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Discinaceae	g__Gyromitra	s__infula
ASV_2728	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Coniosporium	NA
ASV_2729	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Ploettnerulaceae	g__Cadophora	NA
ASV_2730	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Melanommataceae	g__Herpotrichia	NA
ASV_2731	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	s__flexipes
ASV_2732	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Neosetophoma	NA
ASV_2733	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Acrospermales	f__Acrospermales_fam_Incertae_sedis	g__Phaeodactylium	NA
ASV_2734	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Microascales	f__Microascaceae	g__Pseudallescheria	s__boydii
ASV_2735	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_2736	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pyronemataceae	g__Warcupia	s__terrestris
ASV_2737	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Crocicreas	NA
ASV_2738	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pulvinulaceae	NA	NA
ASV_2739	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Peltigerales	f__Peltigeraceae	g__Peltigera	s__monticola
ASV_2740	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Ploettnerulaceae	g__Cadophora	NA
ASV_2741	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	NA	NA	NA
ASV_2742	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Paraphoma	s__fimeti
ASV_2743	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_2744	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Venturiales	f__Venturiaceae	g__Sympodiella	NA
ASV_2745	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Hyaloscypha	NA
ASV_2746	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Tricholomataceae	g__Lepista	s__nuda
