	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_6021	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Coniochaetaceae	g__Coniochaeta	s__boothii
ASV_6022	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Corticiales	NA	NA	NA
ASV_6023	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Pilodermataceae	g__Piloderma	NA
ASV_6024	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__Dominikia	NA
ASV_6025	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Ceratobasidiaceae	g__Ceratobasidium	NA
ASV_6026	k__Fungi	p__Ascomycota	c__Geoglossomycetes	o__Geoglossales	f__Geoglossaceae	g__Geoglossum	NA
ASV_6027	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Sporormiaceae	NA	NA
ASV_6028	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Teratosphaeriaceae	g__Devriesia	NA
ASV_6029	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_6030	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Erysiphales	f__Erysiphaceae	g__Blumeria	s__graminis
ASV_6031	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__Rhizophagus	NA
ASV_6032	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Lindgomycetaceae	NA	NA
ASV_6033	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Alternaria	NA
ASV_6034	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Bolbitiaceae	g__Conocybe	NA
ASV_6035	k__Fungi	p__Chytridiomycota	NA	NA	NA	NA	NA
ASV_6036	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6037	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Extremaceae	g__Extremus	NA
ASV_6038	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Erysiphales	f__Erysiphaceae	g__Blumeria	s__graminis
ASV_6039	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Atheliaceae	g__Taeniospora	s__gracilis
ASV_6040	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6041	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Onygenales	f__Onygenaceae	g__Chrysosporium	s__merdarium
ASV_6042	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Onygenales	f__Arthrodermataceae	g__Arthroderma	NA
ASV_6043	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Cistella	NA
ASV_6044	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Coniochaetaceae	NA	NA
ASV_6045	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6046	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Erysiphales	f__Erysiphaceae	g__Blumeria	s__graminis
ASV_6047	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Hyaloscypha	NA
ASV_6048	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Tympanidaceae	g__Vexillomyces	NA
ASV_6049	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Tricholomataceae	g__Clitocybe	NA
ASV_6050	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__nyingchiensis
ASV_6051	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	g__Knufia	NA
ASV_6052	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Dictyosporiaceae	NA	NA
ASV_6053	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Thelebolales	f__Pseudeurotiaceae	g__Pseudogymnoascus	NA
ASV_6054	k__Fungi	p__Chytridiomycota	c__Spizellomycetes	o__Spizellomycetales	NA	NA	NA
ASV_6055	k__Fungi	p__Rozellomycota	NA	NA	NA	NA	NA
ASV_6056	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Acremonium	s__cavaraeanum
ASV_6057	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6058	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Ploettnerulaceae	g__Cadophora	NA
ASV_6059	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Lentitheciaceae	g__Keissleriella	NA
ASV_6060	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	NA	NA	NA
ASV_6061	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	NA	NA	NA
ASV_6062	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Venturiales	f__Venturiaceae	g__Venturia	NA
ASV_6063	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Lyophyllaceae	g__Lyophyllum	NA
ASV_6064	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mytilinidiales	f__Mytilinidiaceae	g__Lophium	s__arboricola
ASV_6065	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Microbotryomycetes_ord_Incertae_sedis	f__Microbotryomycetes_fam_Incertae_sedis	g__Curvibasidium	NA
ASV_6066	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Trichoderma	s__stellatum
ASV_6067	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Microbotryomycetes_ord_Incertae_sedis	f__Colacogloeaceae	g__Colacogloea	NA
ASV_6068	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Sclerococcales	f__Sclerococcaceae	g__Sclerococcum	NA
ASV_6069	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Neosorocybe	s__pini
ASV_6070	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Mycenaceae	g__Mycena	s__pasvikensis
ASV_6071	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__Dominikia	NA
ASV_6072	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	NA	NA
ASV_6073	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6074	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Bolbitiaceae	g__Conocybe	s__velutipes
ASV_6075	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6076	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Thelebolales	f__Pseudeurotiaceae	g__Pseudeurotium	NA
ASV_6077	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__Trichocladium	NA
ASV_6078	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pyronemataceae	g__Cheilymenia	NA
ASV_6079	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Verrucariales	f__Verrucariaceae	g__Endocarpon	NA
ASV_6080	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Hygrophoraceae	g__Arrhenia	NA
ASV_6081	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6082	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Paraphoma	s__fimeti
ASV_6083	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Paraphoma	s__fimeti
ASV_6084	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6085	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Verrucariales	f__Verrucariaceae	NA	NA
ASV_6086	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6087	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Apodus	NA
ASV_6088	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6089	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6090	k__Fungi	p__Chytridiomycota	NA	NA	NA	NA	NA
ASV_6091	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6092	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Strophariaceae	g__Pholiota	s__brunnescens
ASV_6093	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Naohideales	NA	NA	NA
ASV_6094	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Myrmecridiales	f__Myrmecridiaceae	g__Myrmecridium	NA
ASV_6095	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6096	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6097	k__Fungi	p__Rozellomycota	NA	NA	NA	NA	NA
ASV_6098	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Sarocladium	s__sasijaorum
ASV_6099	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	NA
ASV_6100	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Phaeosphaeria	s__triglochinicola
ASV_6101	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Sporormiaceae	g__Sporormiella	s__pulchella
ASV_6102	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_6103	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__Auriculariaceae	NA	NA
ASV_6104	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Tetracladium	NA
ASV_6105	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__simplicissimum
ASV_6106	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Sclerostagonospora	NA
ASV_6107	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__victoriae
ASV_6108	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6109	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	NA	NA	NA
ASV_6110	k__Fungi	p__Ascomycota	c__Sordariomycetes	NA	NA	NA	NA
ASV_6111	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_6112	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	NA
ASV_6113	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	NA	NA	NA
ASV_6114	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__Auriculariales_fam_Incertae_sedis	g__Oliveonia	NA
ASV_6115	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Dictyosporiaceae	g__Pseudocoleophoma	NA
ASV_6116	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6117	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Coronophorales	f__Scortechiniaceae	NA	NA
ASV_6118	k__Fungi	p__Chytridiomycota	c__Chytridiomycetes	o__Chytridiales	f__Chytridiaceae	g__Chytridium	NA
ASV_6119	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6120	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__Dominikia	NA
ASV_6121	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Tricholomataceae	g__Xeromphalina	s__setulipes
ASV_6122	k__Fungi	p__Basidiomycota	c__Spiculogloeomycetes	o__Spiculogloeales	f__Spiculogloeales_fam_Incertae_sedis	g__Meniscomyces	s__layueensis
ASV_6123	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6124	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Rhodotorula	NA
ASV_6125	k__Fungi	p__Chytridiomycota	c__Spizellomycetes	o__Spizellomycetales	NA	NA	NA
ASV_6126	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_6127	k__Fungi	p__Basidiomycota	c__Spiculogloeomycetes	o__Spiculogloeales	f__Spiculogloeales_fam_Incertae_sedis	g__Meniscomyces	s__layueensis
ASV_6128	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6129	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	NA	NA	NA	NA
ASV_6130	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Erysiphales	f__Erysiphaceae	g__Blumeria	s__graminis
ASV_6131	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Hydnaceae	g__Sistotrema	s__brinkmannii
ASV_6132	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	g__Cryptosporiopsis	NA
ASV_6133	k__Fungi	p__Zoopagomycota	c__Zoopagomycetes	o__Zoopagales	f__Piptocephalidaceae	g__Syncephalis	NA
ASV_6134	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	g__Bradymyces	NA
ASV_6135	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Myxotrichaceae	g__Oidiodendron	NA
ASV_6136	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	NA	NA
ASV_6137	k__Fungi	p__Chytridiomycota	c__Spizellomycetes	o__Spizellomycetales	NA	NA	NA
ASV_6138	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Ostropales	f__Stictidaceae	g__Cryptodiscus	NA
ASV_6139	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6140	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mytilinidiales	f__Mytilinidiaceae	g__Mytilinidion	s__scolecosporum
ASV_6141	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Myxotrichaceae	g__Oidiodendron	NA
ASV_6142	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Sclerococcales	f__Sclerococcaceae	g__Sclerococcum	NA
ASV_6143	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	NA	NA	NA
ASV_6144	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__Dominikia	NA
ASV_6145	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_6146	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__Exidiaceae	g__Basidiodendron	NA
ASV_6147	k__Fungi	p__Rozellomycota	NA	NA	NA	NA	NA
ASV_6148	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__Auriculariales_fam_Incertae_sedis	g__Oliveonia	NA
ASV_6149	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	f__Alphamycetaceae	g__Betamyces	NA
ASV_6150	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	g__Hyalorbilia	NA
ASV_6151	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pezizaceae	g__Iodophanus	NA
ASV_6152	k__Fungi	p__Rozellomycota	NA	NA	NA	NA	NA
ASV_6153	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymosphaeriaceae	g__Laburnicola	NA
ASV_6154	k__Fungi	p__Rozellomycota	NA	NA	NA	NA	NA
ASV_6155	k__Fungi	p__Chytridiomycota	c__Spizellomycetes	o__Spizellomycetales	NA	NA	NA
ASV_6156	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pyronemataceae	g__Tricharina	NA
ASV_6157	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	g__Knufia	NA
ASV_6158	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__sylvestris
ASV_6159	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Bankeraceae	g__Phellodon	NA
ASV_6160	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Lentitheciaceae	NA	NA
ASV_6161	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6162	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Erysiphales	f__Erysiphaceae	g__Blumeria	s__graminis
ASV_6163	k__Fungi	p__Ascomycota	c__Pezizomycotina_cls_Incertae_sedis	NA	NA	NA	NA
ASV_6164	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Bolbitiaceae	g__Conocybe	s__intrusa
ASV_6165	k__Fungi	p__Rozellomycota	NA	NA	NA	NA	NA
ASV_6166	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_6167	k__Fungi	p__Ascomycota	c__Laboulbeniomycetes	o__Pyxidiophorales	NA	NA	NA
ASV_6168	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_6169	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	g__Gamsylella	NA
ASV_6170	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Leptodontidiaceae	g__Leptodontidium	NA
ASV_6171	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6172	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Leptosphaeriaceae	g__Plenodomus	s__biglobosus
ASV_6173	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Crocicreas	NA
ASV_6174	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	NA	NA	NA
ASV_6175	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Typhulaceae	g__Typhula	s__maritima
ASV_6176	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Ploettnerulaceae	g__Cadophora	NA
ASV_6177	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6178	k__Fungi	p__Chytridiomycota	c__Spizellomycetes	o__Spizellomycetales	NA	NA	NA
ASV_6179	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Ceratobasidiaceae	g__Ceratobasidium	NA
ASV_6180	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Cordanaceae	NA	NA
ASV_6181	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mytilinidales	f__Gloniaceae	g__Cenococcum	NA
ASV_6182	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	NA	NA	NA
ASV_6183	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Dioszegia	s__rishiriensis
ASV_6184	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	NA	NA	NA
ASV_6185	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	NA	NA	NA
ASV_6186	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	NA	NA	NA
ASV_6187	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	NA	NA
ASV_6188	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Inocybaceae	g__Inocybe	s__giacomi
ASV_6189	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Hyphodiscus	NA
ASV_6190	k__Fungi	p__Rozellomycota	NA	NA	NA	NA	NA
ASV_6191	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Mycenaceae	g__Mycena	s__pasvikensis
ASV_6192	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Boliniales	f__Boliniales_fam_Incertae_sedis	g__Junewangia	NA
ASV_6193	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	NA
ASV_6194	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Mycenaceae	g__Mycena	s__abramsii
ASV_6195	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Pezizomycotina_fam_Incertae_sedis	g__Weissia	NA
ASV_6196	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Hygrophoraceae	g__Eonema	s__pyriforme
ASV_6197	k__Fungi	p__Chytridiomycota	c__Spizellomycetes	o__Spizellomycetales	NA	NA	NA
ASV_6198	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Apodus	NA
ASV_6199	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__Dominikia	NA
ASV_6200	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Rodwayella	NA
ASV_6201	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Lentitheciaceae	g__Keissleriella	NA
ASV_6202	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Neoschizotheciaceae	g__Neoschizothecium	s__curvisporum
ASV_6203	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	NA	NA	NA
ASV_6204	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Myrmecridiales	f__Myrmecridiaceae	g__Myrmecridium	NA
ASV_6205	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6206	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Dioszegia	s__hungarica
ASV_6207	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Typhulaceae	g__Typhula	s__uncialis
ASV_6208	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Xylariaceae	g__Wawelia	s__regia
ASV_6209	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Cosmospora	NA
ASV_6210	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	NA	NA	NA
ASV_6211	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	g__Gamsylella	NA
ASV_6212	k__Fungi	p__Rozellomycota	NA	NA	NA	NA	NA
ASV_6213	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6214	k__Fungi	p__Chytridiomycota	NA	NA	NA	NA	NA
ASV_6215	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Comoclathris	NA
ASV_6216	k__Fungi	p__Rozellomycota	NA	NA	NA	NA	NA
ASV_6217	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6218	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Microascales	f__Microascaceae	g__Scedosporium	NA
ASV_6219	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Jaapiales	f__Jaapiaceae	g__Jaapia	s__argillacea
ASV_6220	k__Fungi	p__Chytridiomycota	c__Spizellomycetes	o__Spizellomycetales	f__Powellomycetaceae	g__Fimicolochytrium	NA
ASV_6221	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	NA	NA	NA
ASV_6222	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Tylosporaceae	g__Amphinema	NA
ASV_6223	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Nadsoniella	s__nigra
ASV_6224	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_6225	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Exophiala	NA
ASV_6226	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Dothideales	f__Saccotheciaceae	g__Aureobasidium	NA
ASV_6227	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	NA	NA	NA
ASV_6228	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	NA	NA	NA
ASV_6229	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__Dominikia	NA
ASV_6230	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	NA	NA	NA
ASV_6231	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Onygenales	NA	NA	NA
ASV_6232	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Onygenales	NA	NA	NA
ASV_6233	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Thelebolales	f__Pseudeurotiaceae	NA	NA
ASV_6234	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Sporormiaceae	g__Sporormiella	s__megalospora
ASV_6235	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	NA	NA	NA
ASV_6236	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Onygenales	f__Onygenaceae	g__Chrysosporium	s__merdarium
ASV_6237	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Teratosphaeriaceae	g__Teratosphaeria	NA
ASV_6238	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Thelebolales	f__Pseudeurotiaceae	g__Pseudogymnoascus	s__appendiculatus
ASV_6239	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6240	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6241	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	NA	NA
ASV_6242	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Clathrosphaerina	NA
ASV_6243	k__Fungi	p__Chytridiomycota	NA	NA	NA	NA	NA
ASV_6244	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Microascales	NA	NA	NA
ASV_6245	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6246	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Myxotrichaceae	g__Oidiodendron	NA
ASV_6247	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6248	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Coniochaetaceae	g__Coniochaeta	s__fasciculata
ASV_6249	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Leptosphaeriaceae	NA	NA
ASV_6250	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__Dominikia	NA
ASV_6251	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Calycellina	NA
ASV_6252	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_6253	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Tetracladium	NA
ASV_6254	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Cordycipitaceae	g__Lecanicillium	NA
