site_code,replicate,bareground,rock,litter,western stickseed ,desert parsley,prickly lettuce,wolf willow,rabbit brush,strawberry ,prickly rose,birch leaved spirea,fireweed,juniper,lupine ,aster  spp.,yarrow,milkvetch,alfalfa,dandilion,pussytoes,salsify,losel's tumble mustard ,mullein,clover,hawkweed,willowherb,thistle,kinninnick,grouseberry,pumpelly brome,foxtail barley,poa,fescue,stiff needlegrass,ryegrass,kentucky bluegrass,crested wheatgrass,quack grass,rush,cheatgrass,bluebunch wheatgrass,pine grass,timothy,ponderosa pine,trembling aspen,cyrptocrust,tailings ,droppings
BM91I,C3,3,1,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,5,,
TDA12A1,A1,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,15,,,,,,,,,,,
TDA12A2,A2,,,25,,,,,,,,,,,,,,,,8,,,,,,,,,,,75,,,,,,,20,,,,,,,,,,,
TDA12A2,A3,10,2,65,,,,,,,,,,,,,,,,5,,,15,,,,,,,,,,,,,,,55,,,,,,,,,,,
TDA12A2,B1,,,35,,,,,,,,,,,,,,,,10,,,,,,,,,,,45,,,,,,,55,,,,,,,,,,,
TDA12A2,B2,3,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,40,,,,,,,,,,,
TDA12A2,B3,4,2,60,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,60,3,,,,,,,,,,
TDA12A2,C1,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,65,,,,,,,,,,,
TDA12A2,C2,5,3,50,,,,,,,,,,,,,,,,,,,15,,,,,,,,15,,,,,,,55,,,,,,,,,,,
TDA12A2,C3,,,70,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,70,,,,,,,,,,,
BM98B,A1,,,45,,,,,,,,,,,,,15,,,10,,,20,,,,,,,,25,,,,,,,,,,,,,,,,,,
BM98B,A2,,,75,,,,,,,,,,,,,25,,,5,,,,,,,,,,,,,10,,,,,,40,,,,,,,,15,,
BM98B,A3,,,85,,,,,,,,,,,,,5,,,,,,15,,,,,,,,,,3,,,,,15,,,,,,,,,8,,
BM98B,B1,,,65,,,,,,,,,,,,,2,,,25,,,5,,,,,,,,,,55,,,,,,,,,,,,,,,,
BM98B,B2,,,70,,,,,,,,,,,,,8,,,20,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,
BM98B,B3,,1,70,,,,,,,,,,,,,20,,,,,,10,,,,,,,,,,40,,,,,,,,,,,,,,8,,
BM98B,C1,,1,30,,,,,,,,,,,,,3,,,10,,,,,,,,,,,15,,10,,,,,25,,,,,,,,,15,,
BM98B,C2,,,85,,,,,,,,,,,,,10,,,8,,,5,,,,,,,,25,,,,,,,20,,,,,,,,,,,
BM98B,C3,3,,60,,,,,,,,,,,,,15,,,,,,65,,,,,,,,,,25,,,,,,,,,,,,,,,,
JPD94A,A1,17,15,25,,,,8,,,,,,,,,2,,,,1,,,2,,,,,,,,,,,20,,,,,,,,,,,,10,,
JPD94A,A2,15,38,20,,,,,,,,,,,,,,,,1,2,,,5,,,,,,,,,,,,,17,3,,,,,,,,,2,,
